Mes,Adobe Flash: (Todo el mundo),Microsoft Silverlight: (Todo el mundo)
2010-06,83,23
2010-07,80,18
2010-08,91,19
2010-09,91,20
2010-10,84,20
2010-11,75,19
2010-12,74,19
2011-01,69,17
2011-02,75,19
2011-03,80,18
2011-04,72,18
2011-05,71,16
2011-06,70,16
2011-07,70,15
2011-08,70,14
2011-09,74,15
2011-10,82,14
2011-11,79,14
2011-12,100,14
2012-01,82,13
2012-02,79,14
2012-03,82,13
2012-04,75,12
2012-05,70,13
2012-06,79,12
2012-07,81,11
2012-08,79,11
2012-09,73,11
2012-10,69,10
2012-11,70,10
2012-12,73,9
2013-01,68,9
2013-02,83,9
2013-03,75,11
2013-04,70,9
2013-05,64,8
2013-06,59,8
2013-07,59,8
2013-08,59,8
2013-09,61,9
2013-10,64,9
2013-11,59,8
2013-12,60,8
2014-01,62,8
2014-02,61,8
2014-03,53,8
2014-04,53,8
2014-05,48,8
2014-06,49,7
2014-07,47,7
2014-08,47,8
2014-09,49,8
2014-10,54,7
2014-11,51,8
2014-12,63,8
2015-01,55,8
2015-02,53,8
2015-03,46,8
2015-04,42,10
2015-05,40,8
2015-06,35,7
2015-07,75,7
2015-08,43,7
2015-09,37,8
2015-10,40,6
2015-11,34,5
2015-12,33,5
2016-01,23,4
2016-02,20,4
2016-03,19,4
2016-04,18,4
2016-05,17,3
2016-06,18,3
2016-07,15,2
2016-08,14,2
2016-09,17,3
2016-10,20,3
2016-11,21,3
2016-12,18,3
2017-01,16,3
2017-02,17,3
2017-03,21,3
2017-04,21,3
2017-05,19,2
2017-06,17,2
2017-07,16,2
2017-08,17,2
2017-09,16,2
2017-10,19,2
2017-11,15,2
2017-12,13,2
2018-01,12,2
2018-02,12,2
2018-03,10,1
2018-04,9,1
2018-05,9,1
2018-06,8,1
2018-07,8,1
2018-08,7,1
2018-09,10,1
2018-10,9,1
2018-11,8,1
2018-12,7,1
2019-01,7,1
2019-02,7,1
2019-03,6,1
2019-04,5,1
2019-05,5,1
2019-06,5,1
2019-07,5,1
2019-08,9,1
2019-09,8,1
2019-10,7,1
2019-11,6,1
2019-12,5,1
2020-01,6,1
2020-02,5,1
2020-03,7,1
2020-04,7,1
2020-05,5,1
2020-06,5,1
2020-07,4,1
2020-08,4,1
2020-09,5,<1
2020-10,4,<1
2020-11,4,<1
2020-12,5,<1
2021-01,8,<1
2021-02,4,<1
2021-03,3,<1
2021-04,3,<1
2021-05,2,<1
2021-06,2,<1
2021-07,2,<1
2021-08,2,<1
2021-09,2,<1
2021-10,2,<1
2021-11,1,<1
2021-12,1,<1
2022-01,2,<1
2022-02,2,<1
2022-03,1,<1
2022-04,1,<1
2022-05,1,<1
2022-06,1,<1
2022-07,1,<1
2022-08,1,<1
2022-09,1,<1
2022-10,1,<1
2022-11,1,<1
2022-12,1,<1
2023-01,1,<1
2023-02,1,<1
2023-03,1,<1
2023-04,1,<1
2023-05,1,<1
2023-06,1,<1
2023-07,1,<1
2023-08,1,<1
2023-09,1,<1
2023-10,1,<1
2023-11,1,<1
2023-12,1,<1
2024-01,1,<1
2024-02,1,<1
2024-03,1,<1
2024-04,1,<1
2024-05,1,<1
2024-06,<1,<1
2024-07,<1,<1
2024-08,<1,<1
2024-09,<1,<1
2024-10,<1,<1
2024-11,<1,<1
2024-12,<1,<1
